规则序号,实体文本,实体类型,IFC_Class
1,公路,公路,IfcRoad
1,桥涵结构,桥梁结构,IfcBridge
2,高速公路,公路,IfcRoad
2,特大桥,桥梁结构,IfcBridge
2,大桥,桥梁结构,IfcBridge
3,高速公路,公路,IfcRoad
3,中桥,桥梁结构,IfcBridge
4,高速公路,公路,IfcRoad
4,小桥,桥梁结构,IfcBridge
4,涵洞,桥梁结构,IfcBridge
7,一级公路,公路,IfcRoad
7,特大桥,桥梁结构,IfcBridge
7,大桥,桥梁结构,IfcBridge
8,一级公路,公路,IfcRoad
8,中桥,桥梁结构,IfcBridge
9,一级公路,公路,IfcRoad
9,小桥,桥梁结构,IfcBridge
9,涵洞,桥梁结构,IfcBridge
12,二级公路,公路,IfcRoad
12,特大桥,桥梁结构,IfcBridge
12,大桥,桥梁结构,IfcBridge
13,二级公路,公路,IfcRoad
13,中桥,桥梁结构,IfcBridge
14,二级公路,公路,IfcRoad
14,小桥,桥梁结构,IfcBridge
14,涵洞,桥梁结构,IfcBridge
17,三级公路,公路,IfcRoad
17,特大桥,桥梁结构,IfcBridge
17,大桥,桥梁结构,IfcBridge
18,三级公路,公路,IfcRoad
18,中桥,桥梁结构,IfcBridge
19,三级公路,公路,IfcRoad
19,小桥,桥梁结构,IfcBridge
19,涵洞,桥梁结构,IfcBridge
22,四级公路,公路,IfcRoad
22,特大桥,桥梁结构,IfcBridge
22,大桥,桥梁结构,IfcBridge
23,四级公路,公路,IfcRoad
23,中桥,桥梁结构,IfcBridge
24,四级公路,公路,IfcRoad
24,小桥,桥梁结构,IfcBridge
24,涵洞,桥梁结构,IfcBridge
27,高速公路,公路,IfcRoad
27,特大桥,桥梁结构,IfcBridge
28,高速公路大桥,桥梁结构,IfcBridge
29,高速公路,公路,IfcRoad
29,中桥,桥梁结构,IfcBridge
30,高速公路,公路,IfcRoad
30,小桥,桥梁结构,IfcBridge
31,高速公路,公路,IfcRoad
31,涵洞,桥梁结构,IfcBridge
31,小型排水构造物,桥梁结构,IfcBridge
32,一级公路,公路,IfcRoad
32,特大桥,桥梁结构,IfcBridge
33,一级公路,公路,IfcRoad
33,大桥,桥梁结构,IfcBridge
34,一级公路,公路,IfcRoad
34,中桥,桥梁结构,IfcBridge
35,一级公路,公路,IfcRoad
35,小桥,桥梁结构,IfcBridge
36,一级公路,公路,IfcRoad
36,涵洞,桥梁结构,IfcBridge
36,小型排水构造物,桥梁结构,IfcBridge
37,二级公路,公路,IfcRoad
37,特大桥,桥梁结构,IfcBridge
38,二级公路,公路,IfcRoad
38,大桥,桥梁结构,IfcBridge
39,二级公路,公路,IfcRoad
39,中桥,桥梁结构,IfcBridge
40,二级公路,公路,IfcRoad
40,小桥,桥梁结构,IfcBridge
41,二级公路,公路,IfcRoad
41,涵洞,桥梁结构,IfcBridge
41,小型排水构造物,桥梁结构,IfcBridge
42,特大桥,桥梁结构,IfcBridge
42,三级公路,公路,IfcRoad
43,三级公路,公路,IfcRoad
43,大桥,桥梁结构,IfcBridge
44,三级公路,公路,IfcRoad
44,中桥,桥梁结构,IfcBridge
45,三级公路,公路,IfcRoad
45,小桥,桥梁结构,IfcBridge
46,三级公路,公路,IfcRoad
46,涵洞,桥梁结构,IfcBridge
46,小型排水构造物,桥梁结构,IfcBridge
47,四级公路,公路,IfcRoad
47,特大桥,桥梁结构,IfcBridge
48,四级公路,公路,IfcRoad
48,大桥,桥梁结构,IfcBridge
49,四级公路,公路,IfcRoad
49,中桥,桥梁结构,IfcBridge
50,四级公路,公路,IfcRoad
50,小桥,桥梁结构,IfcBridge
51,四级公路,公路,IfcRoad
51,涵洞,桥梁结构,IfcBridge
51,小型排水构造物,桥梁结构,IfcBridge

